player.name,season,player.team.code,player.team.tvCodes,player.team.name,minutesPlayed,cluster,cluster_prob_max,prob_cluster_0,prob_cluster_1,prob_cluster_2,prob_cluster_3,Height,offensiveReboundsPercentage,defensiveReboundsPercentage,assistsRatio,turnoversRatio,blocks,steals,pointsScored,usageProxy,pir,freeThrowsRate,freeThrowsPercentage,fieldGoalsAttempted,twoPointersPercentage,threePointersPercentage,3FGA_Pct,Corner_3FGA_Pct,0_1m_FGA_Pct,1_3.5m_FGA_Pct,3.5m_3pt_FGA_Pct
"SMITS, ROLANDS",2020,BAR,FCB,FC Barcelona,15.926829268292684,2,0.9767805863518493,0.023219413648151,8.837954826471532e-17,0.9767805863518493,0.0,206.99999999999997,0.086,0.162,0.103,0.168,3.4,6.5,96.6,0.3578866768759571,105.2,0.287,0.767,64.7,0.657,0.396,32.0,35.42,22.67,43.33,2.0
"KUZMIC, OGNJEN",2020,RED,CZV,Crvena Zvezda Meridianbet Belgrade,13.91875,3,0.9999999999999893,7.257628874191997e-80,4.354966244162784e-122,1.1204375421210575e-14,0.9999999999999893,213.0,0.156,0.204,0.061,0.122,6.9,7.6,93.8,0.2945666816344858,147.9,0.433,0.6409999999999999,68.6,0.544,0.0,0.0,0.0,15.56,82.22,2.22
"GARUBA, USMAN",2020,MAD,RMB,Real Madrid,16.28846153846154,2,0.9999999999999964,4.688316281725487e-15,1.7508767268963266e-120,0.9999999999999964,0.0,202.99999999999997,0.094,0.208,0.139,0.215,12.9,11.0,73.1,0.3315230224321133,113.7,0.311,0.595,56.9,0.628,0.268,34.45,17.07,10.92,50.42,4.2
"DATOME, LUIGI",2020,MIL,AXM,EA7 Emporio Armani Milan,16.49009009009009,0,0.999999987342541,0.999999987342541,2.2655304588243344e-10,1.2430905327717163e-08,0.0,202.99999999999997,0.0409999999999999,0.165,0.115,0.076,1.2,2.8,103.9,0.4123688811188811,94.8,0.21,0.897,74.0,0.4579999999999999,0.511,48.39,28.89,2.15,14.52,34.95
"ZAITCEV, VIACHESLAV",2020,KHI,KHI,BC Khimki,19.473529411764705,2,0.9972772477033529,0.002722734899385604,1.739726161562955e-08,0.9972772477033529,0.0,190.0,0.022,0.131,0.2769999999999999,0.187,4.7,15.0,58.5,0.4518954840658511,73.2,0.257,0.8109999999999999,48.2,0.51,0.325,27.78,12.5,12.5,43.06,16.67
"BENDER, DRAGAN",2020,TEL,MTA,Maccabi Rapyd Tel Aviv,19.123039215686273,0,0.9486306058197508,0.9486306058197508,5.145734056920117e-30,0.051369394180248294,0.0,216.0,0.049,0.193,0.099,0.147,7.1,6.0,89.4,0.3869677783189357,90.2,0.265,0.7559999999999999,67.6,0.605,0.345,49.41,11.9,10.59,35.88,4.12
"JOKUBAITIS, ROKAS",2020,ZAL,ZAL,Zalgiris Kaunas,20.92096774193548,0,0.9982368940562825,0.9982368940562825,0.0017371379449909942,2.5967998726753968e-05,0.0,193.0,0.027,0.08,0.239,0.147,0.0,5.2,66.0,0.5018888289260659,64.8,0.2239999999999999,0.7559999999999999,56.0,0.478,0.3879999999999999,26.78,42.86,5.46,47.54,20.22
"DRAGIC, ZORAN",2020,BAS,TDS,Baskonia Vitoria-Gasteiz,17.97020202020202,0,0.8268002701735111,0.8268002701735111,0.1648576501328963,0.008342079693592797,0.0,196.0,0.043,0.063,0.091,0.118,0.0,5.8,85.4,0.5564767713105309,68.7,0.4029999999999999,0.787,67.1,0.511,0.284,39.82,9.09,7.69,50.68,1.81
"DOBRIC, OGNJEN",2020,RED,CZV,Crvena Zvezda Meridianbet Belgrade,18.619791666666668,0,0.999763131709207,0.999763131709207,0.0002368682796200011,1.11730256987799e-11,0.0,200.0,0.031,0.106,0.087,0.123,0.4,10.1,95.5,0.4618741258741258,81.0,0.249,0.857,71.2,0.3979999999999999,0.456,57.87,17.54,4.57,27.92,9.64
"JEAN-CHARLES, LIVIO",2020,OLY,OLY,Olympiacos Piraeus,17.529885057471265,2,0.9999999999985505,1.4501810590583567e-12,1.3453267272630618e-79,0.9999999999985505,0.0,204.0,0.1009999999999999,0.133,0.076,0.183,9.7,9.2,93.6,0.3879089895744541,104.3,0.178,0.875,68.7,0.667,0.273,24.44,54.55,19.26,48.15,8.15
"WEILER-BABB, NICK",2020,MUN,BAY,FC Bayern Munich,23.606565656565657,1,0.9996670415871688,0.00019164131459176257,0.9996670415871688,0.00014131709823927128,0.0,197.0,0.046,0.126,0.2269999999999999,0.123,2.5,12.6,63.8,0.4193748529128602,71.8,0.305,0.807,57.3,0.355,0.34,50.27,21.28,2.14,27.81,19.79
"CARROLL, JAYCEE",2020,MAD,RMB,Real Madrid,14.875806451612902,0,0.9706650030716161,0.9706650030716161,0.029334996928173592,2.1071500996793558e-13,0.0,188.0,0.019,0.068,0.063,0.0969999999999999,0.0,1.9,109.0,0.5781199175973111,82.5,0.172,0.944,78.0,0.633,0.4029999999999999,56.94,11.76,0.0,28.71,14.35
"JANKUNAS, PAULIUS",2020,ZAL,ZAL,Zalgiris Kaunas,15.883333333333333,2,0.9999999997160494,1.6302904945176085e-43,2.8395077309770646e-10,0.9999999997160494,0.0,204.99999999999997,0.083,0.273,0.196,0.15,2.3,9.8,75.4,0.3210912906610703,139.8,0.479,0.911,54.099999999999994,0.508,0.276,30.85,34.48,5.32,51.06,12.77
"BOLOMBOY, JOEL",2020,CSK,CSK,CSKA Moscow,16.925333333333334,2,1.0,1.1918396008479636e-23,9.803859356279012e-93,1.0,0.0,204.99999999999997,0.113,0.147,0.059,0.14,8.9,11.1,99.7,0.3190483693083346,133.7,0.376,0.7709999999999999,68.7,0.623,0.25,17.2,37.5,36.56,32.26,13.98
"SANLI, SERTAC",2020,IST,EFS,Anadolu Efes Istanbul,14.21813725490196,2,0.9999965878906424,3.41210935667035e-06,8.233842957052967e-42,0.9999965878906424,0.0,212.0,0.066,0.121,0.091,0.083,7.1,5.4,110.6,0.4993621789346664,103.1,0.382,0.815,70.69999999999999,0.6609999999999999,0.349,25.29,2.33,17.65,40.0,17.06
"BAKO, ISMAEL",2020,ASV,ASV,LDLC ASVEL Villeurbanne,14.375308641975309,3,1.0,5.930451616937487e-142,1.08e-321,1.0648773926044334e-17,1.0,208.0,0.12,0.1939999999999999,0.083,0.145,14.5,9.7,104.5,0.3756441085537616,138.4,0.544,0.878,62.3,0.6,0.0,0.0,0.0,48.89,38.89,12.22
