player.name,season,player.team.code,player.team.tvCodes,player.team.name,minutesPlayed,Height,offensiveReboundsPercentage,defensiveReboundsPercentage,assistsRatio,turnoversRatio,blocks,steals,pointsScored,usageProxy,pir,freeThrowsRate,freeThrowsPercentage,fieldGoalsAttempted,twoPointersPercentage,threePointersPercentage,3FGA_Pct,Corner_3FGA_Pct,0_1m_FGA_Pct,1_3.5m_FGA_Pct,3.5m_3pt_FGA_Pct
"TARCZEWSKI, KALEB",2020,MIL,AXM,EA7 Emporio Armani Milan,13.407264957264957,213.0,0.124,0.14800000000000002,0.075,0.185,8.7,6.9,89.8,0.32818028240844044,103.1,0.439,0.66,62.0,0.579,0.0,0.0,0.0,37.38,55.14,7.48
"SISKO, ZAN MARK",2020,MUN,BAY,FC Bayern Munich,17.227604166666666,189.0,0.040999999999999995,0.061,0.40299999999999997,0.109,0.4,10.2,52.0,0.4817849260815673,55.4,0.08,0.8,47.099999999999994,0.473,0.392,40.8,9.8,4.0,45.6,9.6
"VIVES, GUILLEM",2020,PAM,VBC,Valencia Basket,18.091666666666665,192.0,0.017,0.087,0.322,0.153,1.6,12.6,64.5,0.3869184707508061,65.6,0.18,0.688,48.7,0.611,0.396,59.55,7.55,11.24,22.47,6.74
"SIMONOVIC, MARKO",2020,RED,CZV,Crvena Zvezda Meridianbet Belgrade,18.631159420289855,202.99999999999997,0.018000000000000002,0.145,0.08900000000000001,0.073,0.0,4.9,99.0,0.2898370347322158,86.8,0.223,0.7140000000000001,76.3,0.371,0.45799999999999996,62.77,16.95,2.13,27.66,7.45
"ABRINES, ALEX",2020,BAR,FCB,FC Barcelona,18.7017094017094,198.0,0.039,0.08199999999999999,0.11199999999999999,0.055999999999999994,3.4,9.5,101.9,0.32082628764681687,78.2,0.172,0.903,77.4,0.44,0.423,72.22,11.54,1.67,17.78,8.33
"ULANOVAS, EDGARAS",2020,ULK,FNB,Fenerbahce Beko Istanbul,19.57857142857143,199.0,0.035,0.07,0.233,0.128,0.6,4.1,72.7,0.3115651222181685,76.2,0.17600000000000002,0.722,59.400000000000006,0.516,0.4,39.22,32.5,3.92,50.0,6.86
"MONIA, SERGEY",2020,KHI,KHI,BC Khimki,22.67948717948718,202.99999999999997,0.04,0.125,0.23399999999999999,0.131,6.9,9.1,73.7,0.2954211418880724,69.7,0.0,0.0,63.4,0.45,0.40700000000000003,81.98,18.68,1.8,9.01,7.21
"SPANOULIS, VASSILIS",2020,OLY,OLY,Olympiacos Piraeus,17.272058823529413,193.0,0.015,0.09699999999999999,0.235,0.17300000000000001,0.0,4.9,55.8,0.6600255427841635,41.3,0.29100000000000004,0.644,52.4,0.45799999999999996,0.28300000000000003,59.11,10.0,1.48,31.53,7.88
"AUGUSTE, ZACH",2020,PAN,PAO,Panathinaikos AKTOR Athens,10.3515873015873,208.0,0.171,0.092,0.091,0.18100000000000002,2.0,12.1,97.8,0.45403664801042715,100.8,0.508,0.5329999999999999,59.5,0.672,1.0,1.69,0.0,30.51,67.8,0.0
"HANGA, ADAM",2020,BAR,FCB,FC Barcelona,15.898373983739836,200.0,0.044000000000000004,0.124,0.228,0.158,3.6,10.6,62.7,0.4654564050115061,65.4,0.19899999999999998,0.647,56.4,0.475,0.34299999999999997,40.94,17.14,12.28,39.77,7.02
"KURBANOV, NIKITA",2020,CSK,CSK,CSKA Moscow,22.053846153846155,202.0,0.040999999999999995,0.10300000000000001,0.172,0.146,6.6,12.1,80.2,0.23125217997907216,95.4,0.331,0.718,59.5,0.62,0.33799999999999997,57.63,38.24,10.17,19.49,12.71
"JOHNSON, JAJUAN",2020,MUN,BAY,FC Bayern Munich,14.189035087719295,206.99999999999997,0.073,0.185,0.061,0.107,8.1,7.1,82.7,0.3664801706284196,94.9,0.213,0.7809999999999999,76.19999999999999,0.483,0.0,4.67,14.29,8.67,31.33,55.33
"SAN EMETERIO, FERNANDO",2020,PAM,VBC,Valencia Basket,13.28263888888889,199.0,0.042,0.086,0.207,0.073,0.0,5.3,78.8,0.46677471636952994,79.4,0.20199999999999999,0.95,66.1,0.462,0.36200000000000004,47.47,17.02,12.12,30.3,10.1
"MACK, SHELVIN",2020,PAN,PAO,Panathinaikos AKTOR Athens,16.476282051282052,193.0,0.019,0.069,0.285,0.158,0.4,7.3,60.1,0.6069330428354667,49.7,0.237,0.742,50.400000000000006,0.408,0.41700000000000004,45.8,20.0,5.34,39.69,9.16
"ZUBKOV, ANDREY",2020,DYR,ZEN,Zenit St Petersburg,16.044444444444444,204.99999999999997,0.039,0.131,0.175,0.142,0.4,5.0,82.1,0.38642659279778396,82.1,0.228,0.647,62.1,0.602,0.377,40.94,9.84,6.71,44.3,8.05
