player.name,season,player.team.code,gamesPlayed,minutesPerGame,pointsPerGame,reboundsPerGame,assistsPerGame,stealsPerGame,blocksPerGame,turnoversPerGame,pirPerGame,twoPointersPercentage,threePointersPercentage,freeThrowsPercentage
"BEAUBOIS, RODRIGUE",2020,IST,38.0,21.41140350877193,10.6,1.8,1.8,0.5,0.3,1.2,9.4,53.2,49.3,90.9
"RUBIT, AUGUSTINE",2020,ZAL,31.0,19.101612903225806,8.1,4.2,0.7,0.6,0.3,1.0,9.4,52.6,26.7,82.9
"THIEMANN, JOHANNES",2020,BER,31.0,18.96021505376344,7.7,3.8,1.5,0.7,0.0,1.1,9.4,48.1,37.7,80.0
"ZIPSER, PAUL",2020,MUN,39.0,21.98376068376069,9.1,3.0,1.1,0.7,0.3,0.7,9.5,57.9,43.8,80.5
"LABEYRIE, LOUIS",2020,PAM,29.0,20.25919540229885,7.5,3.6,0.5,0.5,0.3,0.6,9.7,70.8,36.0,74.5
"DORSEY, TYLER",2020,TEL,34.0,21.88235294117647,11.2,2.7,1.6,0.6,0.1,1.9,9.7,48.0,39.4,78.8
"WILLIAMS, DERRICK",2020,PAM,34.0,20.20686274509804,9.0,3.1,1.1,0.7,0.1,1.0,9.7,66.2,32.4,73.5
"MCKISSIC, SHAQUIELLE",2020,OLY,33.0,23.40858585858586,10.7,2.3,2.2,1.5,0.2,1.4,9.8,51.6,30.7,71.6
"HAYES-DAVIS, NIGEL",2020,ZAL,33.0,26.71060606060606,9.5,3.9,1.2,1.1,0.2,1.1,9.8,44.3,44.3,89.4
"WALDEN, COREY",2020,RED,30.0,23.357777777777777,10.5,1.8,2.3,0.9,0.1,1.9,9.9,46.2,39.0,83.8
"HINES, KYLE",2020,MIL,40.0,24.32583333333333,7.7,4.4,2.0,0.8,0.8,1.3,10.0,55.2,0.0,65.2
"FONTECCHIO, SIMONE",2020,BER,29.0,23.423563218390804,10.6,3.4,1.6,0.9,0.2,1.6,10.1,53.8,38.8,88.6
"VILDOZA, LUCA",2020,BAS,32.0,25.18125,10.2,2.0,3.5,1.6,0.1,2.3,10.2,46.0,38.8,76.1
"HOWARD, WILLIAM",2020,ASV,22.0,17.861363636363635,8.5,3.0,1.2,1.1,0.1,1.1,10.3,58.3,51.5,93.5
"COLE, NORRIS",2020,ASV,30.0,26.25777777777778,13.7,1.9,3.6,0.8,0.1,2.4,10.3,47.0,35.0,88.0
"CALATHES, NICK",2020,BAR,41.0,25.138211382113823,7.8,3.3,6.5,0.9,0.2,2.6,10.3,48.0,32.7,53.3
"DECK, GABRIEL",2020,MAD,32.0,24.109895833333333,8.8,3.7,1.2,0.7,0.0,1.2,10.3,52.4,40.7,84.3
"PAPAPETROU, IOANNIS",2020,PAN,27.0,30.66604938271605,12.1,4.1,2.4,0.6,0.1,2.0,10.6,42.9,36.3,73.0
"WALKUP, THOMAS",2020,ZAL,34.0,24.154901960784315,8.2,3.0,4.5,1.1,0.0,1.6,10.6,46.9,37.1,90.6
"ERIKSSON, MARCUS",2020,BER,22.0,23.312878787878788,12.4,1.7,0.7,0.5,0.0,1.0,10.7,58.9,44.3,94.3
"LIGHTY, DAVID",2020,ASV,33.0,25.31212121212121,11.3,2.8,1.9,1.0,0.0,1.8,10.7,53.5,35.1,86.1
"HUNTER, OTHELLO",2020,TEL,27.0,20.94320987654321,8.0,5.3,1.0,0.8,0.6,1.1,10.7,51.8,0.0,71.4
"RODRIGUEZ, SERGIO",2020,MIL,37.0,19.94324324324324,9.7,2.0,4.5,0.8,0.1,1.9,10.8,60.0,35.4,90.6
"DUNSTON, BRYANT",2020,IST,36.0,21.029166666666665,7.9,3.9,1.0,0.9,0.9,0.6,10.8,58.2,50.0,61.0
"GUDURIC, MARKO",2020,ULK,21.0,25.77380952380953,12.2,2.7,2.3,0.8,0.3,2.0,10.8,48.9,41.7,84.4
"HACKETT, DANIEL",2020,CSK,29.0,24.135057471264368,9.5,2.7,2.3,1.0,0.0,1.2,10.9,44.6,45.3,84.8
"MARTIN, HASSAN",2020,OLY,24.0,22.900694444444444,9.0,4.6,0.4,0.8,0.5,1.0,10.9,72.0,0.0,71.4
"YABUSELE, GUERSCHON",2020,ASV,30.0,25.13222222222222,11.0,4.2,1.2,0.8,0.6,1.6,11.0,52.8,38.4,71.4
"THOMPKINS, TREY",2020,MAD,38.0,21.28333333333333,10.1,4.1,1.2,0.6,0.3,1.0,11.0,61.2,42.4,94.7
